


PUBLICATION INFORMATION FOR NAME TABLE IN BORDER GROUP : 
     KY_countiesBG   2025-08-15 16:27:18 

                     Name  ID         Abbr     Alt_Abbr        Alias
OLDHAM             OLDHAM 083       OLDHAM       OLDHAM       OLDHAM
OWEN                 OWEN 103         OWEN         OWEN         OWEN
OWSLEY             OWSLEY 064       OWSLEY       OWSLEY       OWSLEY
PENDLETON       PENDLETON 105    PENDLETON    PENDLETON    PENDLETON
PERRY               PERRY 068        PERRY        PERRY        PERRY
PIKE                 PIKE 015         PIKE         PIKE         PIKE
POWELL             POWELL 031       POWELL       POWELL       POWELL
PULASKI           PULASKI 076      PULASKI      PULASKI      PULASKI
ROBERTSON       ROBERTSON 035    ROBERTSON    ROBERTSON    ROBERTSON
ROCKCASTLE     ROCKCASTLE 039   ROCKCASTLE   ROCKCASTLE   ROCKCASTLE
ROWAN               ROWAN 051        ROWAN        ROWAN        ROWAN
RUSSELL           RUSSELL 075      RUSSELL      RUSSELL      RUSSELL
SCOTT               SCOTT 025        SCOTT        SCOTT        SCOTT
SHELBY             SHELBY 084       SHELBY       SHELBY       SHELBY
SIMPSON           SIMPSON 002      SIMPSON      SIMPSON      SIMPSON
SPENCER           SPENCER 085      SPENCER      SPENCER      SPENCER
TAYLOR             TAYLOR 071       TAYLOR       TAYLOR       TAYLOR
TODD                 TODD 114         TODD         TODD         TODD
TRIGG               TRIGG 112        TRIGG        TRIGG        TRIGG
TRIMBLE           TRIMBLE 086      TRIMBLE      TRIMBLE      TRIMBLE
UNION               UNION 056        UNION        UNION        UNION
WARREN             WARREN 004       WARREN       WARREN       WARREN
WASHINGTON     WASHINGTON 096   WASHINGTON   WASHINGTON   WASHINGTON
WAYNE               WAYNE 079        WAYNE        WAYNE        WAYNE
WEBSTER           WEBSTER 058      WEBSTER      WEBSTER      WEBSTER
WHITLEY           WHITLEY 043      WHITLEY      WHITLEY      WHITLEY
WOLFE               WOLFE 063        WOLFE        WOLFE        WOLFE
WOODFORD         WOODFORD 018     WOODFORD     WOODFORD     WOODFORD




Any entries in the name table with location ids with a value 
 of 'NA', '', or ' ' are considered empty and will be ignored.

